year,sector,activity,domestic_va_musd,total_va_musd,domestic_share,domestic_share_pct
1995,Agriculture,A,29696.555,39214.208,0.757290699330202,75.7290699330202
1996,Agriculture,A,28992.218,38538.853,0.7522854403580719,75.22854403580719
1997,Agriculture,A,25599.496,34540.006,0.7411549378422226,74.11549378422227
1998,Agriculture,A,26115.321,35304.957,0.739706919909292,73.97069199092921
1999,Agriculture,A,24896.765,33738.404,0.7379354696209103,73.79354696209103
2000,Agriculture,A,21680.947,30169.952,0.7186271625490156,71.86271625490156
2001,Agriculture,A,21869.019,30379.573,0.7198593278450622,71.98593278450622
2002,Agriculture,A,22971.782,31868.642,0.7208271378491747,72.08271378491747
2003,Agriculture,A,26013.755,36947.741,0.7040688901657073,70.40688901657073
2004,Agriculture,A,29928.382,41578.171,0.7198099695150131,71.98099695150131
2005,Agriculture,A,28929.899,40893.911,0.7074378139082858,70.74378139082857
2006,Agriculture,A,27599.708,40717.153,0.677839828339668,67.7839828339668
2007,Agriculture,A,33318.904,49024.412,0.679639033712429,67.96390337124289
2008,Agriculture,A,32957.932,50301.036,0.6552137812827553,65.52137812827553
2009,Agriculture,A,27457.312,42354.052,0.648280641483842,64.8280641483842
2010,Agriculture,A,31391.926,47801.433,0.6567151658403212,65.67151658403212
2011,Agriculture,A,34068.268,53102.369,0.6415583455419851,64.1558345541985
2012,Agriculture,A,31545.575,49142.289,0.6419231916527128,64.19231916527129
2013,Agriculture,A,29429.627,47529.421,0.6191875764697407,61.918757646974065
2014,Agriculture,A,32474.062,51326.719,0.6326931203219907,63.26931203219907
2015,Agriculture,A,27568.062,44486.132,0.6197001348645013,61.97001348645013
2016,Agriculture,A,25509.911,41835.747,0.6097634876700062,60.97634876700062
2017,Agriculture,A,28588.496,46499.103,0.6148182256332987,61.48182256332987
2018,Agriculture,A,32667.193,51663.943,0.6323015841047982,63.23015841047982
2019,Agriculture,A,28728.275,46981.04,0.61148656990139,61.148656990139
2020,Agriculture,A,29592.405,46061.673,0.6424518058647153,64.24518058647153
2021,Agriculture,A,34157.468,52830.017,0.646554173927296,64.6554173927296
2022,Agriculture,A,34846.289,56316.961,0.6187530076418718,61.87530076418718
1995,Construction,F,77116.685,79387.582,0.9713948083215332,97.13948083215332
1996,Construction,F,73146.688,75250.928,0.9720370225866184,97.20370225866183
1997,Construction,F,63603.199,65526.509,0.9706483676705561,97.06483676705561
1998,Construction,F,63907.082,66051.186,0.9675387509317396,96.75387509317396
1999,Construction,F,64836.478,67033.326,0.9672275250074867,96.72275250074867
2000,Construction,F,60780.607,62939.364,0.9657010039059181,96.5701003905918
2001,Construction,F,62463.177,64743.621,0.9647773175985941,96.47773175985941
2002,Construction,F,68887.789,71278.1,0.9664650011714678,96.64650011714679
2003,Construction,F,86598.739,89481.315,0.9677857215218618,96.77857215218619
2004,Construction,F,102441.24,105834.259,0.9679402583618977,96.79402583618977
2005,Construction,F,109299.854,112854.919,0.9684988033175587,96.84988033175587
2006,Construction,F,121199.406,125053.228,0.9691825468111867,96.91825468111867
2007,Construction,F,147196.458,151755.092,0.9699605862319269,96.9960586231927
2008,Construction,F,169518.114,174207.907,0.9730793333048884,97.30793333048884
2009,Construction,F,154404.644,158449.88,0.9744699333315998,97.44699333315998
2010,Construction,F,147290.871,151492.709,0.9722637608916216,97.22637608916216
2011,Construction,F,160473.263,165276.154,0.9709402059295257,97.09402059295257
2012,Construction,F,146242.016,150784.979,0.9698712495758613,96.98712495758613
2013,Construction,F,154282.01,158950.729,0.9706278855757876,97.06278855757876
2014,Construction,F,152208.756,156989.248,0.969548920955402,96.9548920955402
2015,Construction,F,124169.931,128348.176,0.9674460118545042,96.74460118545042
2016,Construction,F,124108.448,128495.381,0.9658592163713652,96.58592163713652
2017,Construction,F,132781.594,137572.281,0.9651769457831408,96.51769457831408
2018,Construction,F,143216.414,148434.52,0.9648457380399115,96.48457380399115
2019,Construction,F,144308.25,149234.52,0.966989742051638,96.69897420516381
2020,Construction,F,138264.591,142933.684,0.9673338511305702,96.73338511305703
2021,Construction,F,157401.869,162941.557,0.9660019941996749,96.6001994199675
2022,Construction,F,141230.277,147563.476,0.9570815274099399,95.708152740994
1995,Energy,D_E,33035.157,38460.633,0.8589343030313619,85.89343030313618
1996,Energy,D_E,33723.593,39202.521,0.860240416681366,86.02404166813659
1997,Energy,D_E,27950.421,32949.572,0.8482787272623753,84.82787272623753
1998,Energy,D_E,29304.25,34649.977,0.8457220620954525,84.57220620954526
1999,Energy,D_E,28262.095,33618.139,0.8406799376967297,84.06799376967297
2000,Energy,D_E,25248.173,30459.938,0.8288977147622559,82.88977147622559
2001,Energy,D_E,25349.217,30544.916,0.829899712279451,82.9899712279451
2002,Energy,D_E,27859.772,33319.176,0.8361482889012621,83.61482889012622
2003,Energy,D_E,33978.243,40670.358,0.835454730936964,83.5454730936964
2004,Energy,D_E,39774.336,47902.241,0.8303230740290418,83.03230740290418
2005,Energy,D_E,40488.302,49252.394,0.8220575430302942,82.20575430302942
2006,Energy,D_E,41786.64,51503.439,0.8113368895618795,81.13368895618795
2007,Energy,D_E,41377.391,52842.998,0.7830250471405881,78.30250471405881
2008,Energy,D_E,42358.146,55611.22,0.7616834516487859,76.16834516487859
2009,Energy,D_E,40996.777,52487.311,0.7810797737380755,78.10797737380754
2010,Energy,D_E,39400.192,51614.039,0.7633619217438109,76.3361921743811
2011,Energy,D_E,42455.004,55848.887,0.7601763666301891,76.0176366630189
2012,Energy,D_E,40837.22,53448.808,0.7640436059864983,76.40436059864983
2013,Energy,D_E,44122.21,56885.953,0.7756257507015836,77.56257507015836
2014,Energy,D_E,43891.316,56399.873,0.7782165750621459,77.82165750621459
2015,Energy,D_E,36948.637,47534.003,0.7773096029804182,77.73096029804182
2016,Energy,D_E,37322.389,47883.63,0.7794394242875906,77.94394242875906
2017,Energy,D_E,36276.919,47603.177,0.7620692837370917,76.20692837370918
2018,Energy,D_E,40210.492,52547.038,0.7652285177330072,76.52285177330072
2019,Energy,D_E,41452.626,53550.674,0.7740822459116014,77.40822459116013
2020,Energy,D_E,43450.408,55082.297,0.7888270890373363,78.88270890373363
2021,Energy,D_E,44792.112,59680.263,0.7505347622211384,75.05347622211383
2022,Energy,D_E,37816.55,60206.069,0.6281185705713489,62.81185705713489
